BGC0000218	L35560	7828855
BGC0000219	AM900040	18310024
BGC0000220	AF254925	24162851;17704772;11137817;770404
BGC0000221	FJ719113	19621341
BGC0000222	AB469194	21102601
BGC0000223	HM193369	20690632
BGC0000224	AF525490	16305230;19620242;20926388
BGC0000225	AF058302	8181754
BGC0000226	AY233211	12822997
BGC0000227	AJ011500	2583128;7476861;9831526
BGC0000228	X16300	2583128
BGC0000229	KC962511	23782455
BGC0000230	AF509565	12323376;19175308;17625850
BGC0000231	X77865	8169211
BGC0000232	AB524586	20453135
BGC0000233	AY196994	15271354
BGC0000234	AF126429	7881555
BGC0000235	AGSW01000147	22536997
BGC0000236	AY228175	10.1021/ja00275a058
BGC0000237	EU147299	18070976
BGC0000238	EU147298	18070976
BGC0000239	AF080235.1	9933932;2358402;10397496;9621686;22454092;20583594;18537830;17786405;15123249;2358402;16283688;16039521;19352642;25581707;21513888;11755402;15977274;15515090
BGC0000240	KF731828	23649992;25045187;24383813
BGC0000241	CP000667	25329237
BGC0000242	AM492533	20399259
BGC0000243	AF263011	10858335
BGC0000244	AF263012	10858335
BGC0000245	AB103463	12855716
BGC0000246	AJ007932	8654997;9150235;10102355;11254130
BGC0000247	X89899	8654997;9150235;10102355;11254130;8807845;8654997;8757400;9150235;9375253;9733697;9882681;9889148;9917296;10102355;10660060;10760873;10652287;10779713;11254130;11853433;12022840;12733914;12813091;14660589;15712316
BGC0000248	AF098965	10206788
BGC0000249	AF323753	11683270
BGC0000250	AJ224512;AF187532;AF323753	12715874;11683270;10639368;9349712;8668120;22633415;22120896
BGC0000251	BD251846	JP2002528068A
BGC0000252	AF074603	10650222
BGC0000253	AJ632203	15368568;18988223
BGC0000254	DQ143963	16597959
BGC0000255	AY850690	15520376
BGC0000256	EF151801	25677666
BGC0000257	AB469822	19329986
BGC0000258	AJ833001	15528645
BGC0000259	AJ833002	15528645
BGC0000260	DQ266254	17381736
BGC0000261	AF293442	10931852
BGC0000262	AY034378	12654660;15515887;17654627;18291320
BGC0000263	FN565485	20140934
BGC0000264	AJ585192	14982421;17090047;17914826;19665022;8150707;812270;12440735;16580188
BGC0000265	U10405	8081500;775
BGC0000266	AF293355	26433383
BGC0000267	FJ670504	19384899
BGC0000268	AJ628018	17085966
BGC0000269	GQ409537	19908837;1577660;21965680;24022606
BGC0000270	AF322256	12115055
BGC0000271	AB070937	11572948
BGC0000272	AF293354	
BGC0000273	AM156932	16751529
BGC0000274	JX843821	23157252
BGC0000275	M80674	1548230;1592819;7982994;8244926;11851469;9609708
BGC0000276	AF164961.1;AF164960.1;AF269227.1;X87093.1	3818439;2925521;2753820;7592377;10658661;10662691;11094336;11410375;11927254;12022840;12512084;12696864;17434221;17640665;3839784;19265871
BGC0000277	AF164961	10658661
BGC0000278	AF269227	11094336
BGC0000279	GQ421798	22444597
BGC0000280	AF497760	15256586;12003942;10708392;15256586;19181839;23624246
BGC0000281	DQ083928	
BGC0000282	AP009493	24305602
BGC0000283	EF120454	17195255;19101977
BGC0000284	CP001157	16597676
BGC0000285	AY078067	12028378
